lat,lng,pop,uap,uap_c,nuc,mag,coastal,uso,layers,nat_rad_dist_km,anc,mag_gradient,uap_corrected,uso_corrected,has_incident_binary,is_high_mag,is_high_nuc
-84.5,-58.5,8.234784113835499e-05,0.0,0.0008234784113835,0.0,0.0,0.0002225435473796,0.0,0,4291.34683468426,0.0,0.0,0.0,0.0,0,0,0
-84.5,-57.5,8.662763781556768e-05,0.0,0.0008662763781556,0.0,0.0,0.0002206707770745,0.0,0,4294.279223337281,0.0,0.0,0.0,0.0,0,0,0
-84.5,-56.5,9.072574200451436e-05,0.0,0.0009072574200451,0.0,0.0,0.0002187002544212,0.0,0,4297.409621668821,0.0,0.0,0.0,0.0,0,0,0
-84.5,-55.5,9.45963518758221e-05,0.0,0.0009459635187582,0.0,0.0,0.0002166352461722,0.0,0,4300.736712963957,0.0,0.0,0.0,0.0,0,0,0
-84.5,-54.5,9.819470054766208e-05,0.0,0.0009819470054766,0.0,0.0,0.0002144791438365,0.0,0,4304.259100935767,0.0,0.0,0.0,0.0,0,0,0
-84.5,-53.5,0.0001014779101602,0.0,0.0010147791016021,0.0,0.0,0.0002122354535171,0.0,0,4307.975310872232,0.0,0.0,0.0,0.0,0,0,0
-84.5,-52.5,0.0001044058377016,0.0,0.0010440583770165,0.0,0.0,0.0002099077855384,0.0,0,4311.883790838816,0.0,0.0,0.0,0.0,0,0,0
-84.5,-51.5,0.000106941889402,0.0,0.0010694188940203,0.0,0.0,0.0002074998439124,0.0,0,4315.982912934362,0.0,0.0,0.0,0.0,0,0,0
-84.5,-50.5,0.0001090537806751,0.0,0.0010905378067517,0.0,0.0,0.0002050154156868,0.0,0,4320.270974597847,0.0,0.0,0.0,0.0,0,0,0
-84.5,-49.5,0.0001107142195839,0.0,0.0011071421958394,0.0,0.0,0.000202458360224,0.0,0,4324.746199963526,0.0,0.0,0.0,0.0,0,0,0
-84.5,-48.5,0.0001119014936185,0.0,0.0011190149361852,0.0,0.0,0.0001998325984543,0.0,0,4329.406741261865,0.0,0.0,0.0,0.0,0,0,0
-84.5,-47.5,0.000112599942157,0.0,0.0011259994215707,0.0,0.0,0.0001971421021491,0.0,0,4334.250680263684,0.0,0.0,0.0,0.0,0,0,0
-84.5,-46.5,0.0001128003002387,0.0,0.0011280030023876,0.0,0.0,0.000194390883256,0.0,0,4339.276029764848,0.0,0.0,0.0,0.0,0,0,0
-84.5,-45.5,0.0001124999031001,0.0,0.0011249990310015,0.0,0.0,0.0001915829833386,0.0,0,4344.480735108839,0.0,0.0,0.0,0.0,0,0,0
-84.5,-44.5,0.0001117027451628,0.0,0.0011170274516281,0.0,0.0,0.0001887224631612,0.0,0,4349.862675744481,0.0,0.0,0.0,0.0,0,0,0
-84.5,-43.5,0.0001104193916469,0.0,0.0011041939164691,0.0,0.0,0.0001858133924559,0.0,0,4355.4196668161485,0.0,0.0,0.0,0.0,0,0,0
-84.5,-42.5,0.0001086667455449,0.0,0.0010866674554496,0.0,0.0,0.0001828598399097,0.0,0,4361.1494607837085,0.0,0.0,0.0,0.0,0,0,0
-84.5,-41.5,0.0001064676771405,0.0,0.0010646767714055,0.0,0.0,0.000179865863405,0.0,0,4367.049749069489,0.0,0.0,0.0,0.0,0,0,0
-84.5,-40.5,0.0001038505274236,0.0,0.0010385052742367,0.0,0.0,0.0001768355005463,0.0,0,4373.118163729584,0.0,0.0,0.0,0.0,0,0,0
-84.5,-39.5,0.0001008485004735,0.0,0.0010084850047352,0.0,0.0,0.0001737727595016,0.0,0,4379.352279146796,0.0,0.0,0.0,0.0,0,0,0
-84.5,-38.5,9.749896301319337e-05,0.0,0.0009749896301319,0.0,0.0,0.0001706816101871,0.0,0,4385.749613742578,0.0,0.0,0.0,0.0,0,0,0
-84.5,-37.5,9.384267177269452e-05,0.0,0.0009384267177269,0.0,0.0,0.0001675659758186,0.0,0,4392.307631705332,0.0,0.0,0.0,0.0,0,0,0
-84.5,-36.5,8.992295095042562e-05,0.0,0.0008992295095042,0.0,0.0,0.0001644297248522,0.0,0,4399.0237447324935,0.0,0.0,0.0,0.0,0,0,0
